"tramo_horario"|"cantidad"|"articulo"|"fecha"
"11"|"4"|"9"|"2020-10-05"
"11"|"1"|"8"|"2020-10-05"
"11"|"1"|"2"|"2020-10-05"
"11"|"1"|"11"|"2020-10-05"
"11"|"2"|"10"|"2020-10-05"
"22"|"1"|"13"|"2020-10-12"
"22"|"1"|"9"|"2020-10-12"
"24"|"1"|"9"|"2020-10-12"
"19"|"1"|"9"|"2020-10-13"
"19"|"1"|"15"|"2020-10-13"
"20"|"1"|"9"|"2020-10-13"
"13"|"4"|"15"|"2020-10-16"
"13"|"1"|"7"|"2020-10-16"
"13"|"1"|"11"|"2020-10-16"
"13"|"9"|"9"|"2020-10-16"
"13"|"3"|"13"|"2020-10-16"
"14"|"1"|"11"|"2020-10-16"
"14"|"3"|"9"|"2020-10-16"
"14"|"2"|"15"|"2020-10-16"
"14"|"1"|"7"|"2020-10-16"
"14"|"1"|"13"|"2020-10-16"
"14"|"1"|"3"|"2020-10-16"
"15"|"2"|"15"|"2020-10-16"
"15"|"1"|"16"|"2020-10-16"
"15"|"1"|"9"|"2020-10-16"
"16"|"2"|"15"|"2020-10-16"
"16"|"2"|"7"|"2020-10-16"
"16"|"1"|"16"|"2020-10-16"
"16"|"3"|"9"|"2020-10-16"
"17"|"2"|"15"|"2020-10-19"
"17"|"1"|"7"|"2020-10-19"
"17"|"3"|"9"|"2020-10-19"
"17"|"1"|"13"|"2020-10-19"
"18"|"1"|"5"|"2020-10-19"
"18"|"2"|"9"|"2020-10-19"
"19"|"1"|"13"|"2020-10-19"
"19"|"2"|"15"|"2020-10-19"
"19"|"1"|"11"|"2020-10-19"
"19"|"4"|"9"|"2020-10-19"
"20"|"1"|"14"|"2020-10-19"
"20"|"4"|"9"|"2020-10-19"
"21"|"1"|"15"|"2020-10-19"
"21"|"1"|"12"|"2020-10-19"
"21"|"1"|"6"|"2020-10-19"
"21"|"1"|"9"|"2020-10-19"
"22"|"1"|"15"|"2020-10-19"
"22"|"2"|"8"|"2020-10-19"
"22"|"1"|"14"|"2020-10-19"
"22"|"1"|"13"|"2020-10-19"
"23"|"2"|"10"|"2020-10-19"
"23"|"1"|"12"|"2020-10-19"
"23"|"2"|"14"|"2020-10-19"
"23"|"1"|"9"|"2020-10-19"
"24"|"1"|"4"|"2020-10-19"
"24"|"1"|"6"|"2020-10-19"
"24"|"1"|"9"|"2020-10-19"
"24"|"1"|"13"|"2020-10-19"
"1"|"1"|"8"|"2020-10-20"
"13"|"3"|"15"|"2020-10-20"
"13"|"1"|"8"|"2020-10-20"
"13"|"8"|"9"|"2020-10-20"
"13"|"1"|"5"|"2020-10-20"
"13"|"1"|"7"|"2020-10-20"
"13"|"3"|"13"|"2020-10-20"
"14"|"3"|"9"|"2020-10-20"
"15"|"3"|"9"|"2020-10-20"
"16"|"1"|"15"|"2020-10-20"
"16"|"4"|"9"|"2020-10-20"
"17"|"2"|"15"|"2020-10-20"
"17"|"2"|"9"|"2020-10-20"
"18"|"1"|"8"|"2020-10-20"
"19"|"1"|"15"|"2020-10-20"
"19"|"1"|"13"|"2020-10-20"
"19"|"1"|"9"|"2020-10-20"
"20"|"1"|"15"|"2020-10-20"
"20"|"1"|"8"|"2020-10-20"
"20"|"2"|"9"|"2020-10-20"
"21"|"2"|"15"|"2020-10-20"
"21"|"1"|"9"|"2020-10-20"
"21"|"1"|"14"|"2020-10-20"
"22"|"1"|"15"|"2020-10-20"
"22"|"3"|"8"|"2020-10-20"
"22"|"1"|"14"|"2020-10-20"
"22"|"1"|"9"|"2020-10-20"
"23"|"1"|"10"|"2020-10-20"
"23"|"3"|"12"|"2020-10-20"
"23"|"1"|"8"|"2020-10-20"
"23"|"2"|"14"|"2020-10-20"
